Inf,Name,Age,Club,"Transfer Value",Wage,Nat,Position,Personality,"Media Handling","Left Foot","Right Foot",Spd,Jmp,Str,Work,Height,afa,ifs,ama,dmd,bpdd,fba,sks,"Highest Role Score","Resulting Role"
Una,"Yankuba Minteh",19,Newcastle,"€44M - €62M","€8,750 p/w",GAM,"AM (RL)",Balanced,Level-headed,"Very Strong","Fairly Strong",17,9,9,10.5,"181 cm",13.4,13.3,13.0,11.2,10.4,11.3,7.4,13.7,"Winger Attack"
Una,"Miguel Almirón",30,Newcastle,"€40M - €48M","€115,000 p/w",PAR,"AM (RC)","Fairly Determined",Level-headed,"Very Strong","Very Weak",16.5,6,10,17.5,"174 cm",13.8,14.8,14.3,14.7,11.4,14.4,8.0,15.1,"Winger Attack"
Wnt,"Harvey Barnes",26,Newcastle,€36M,"€140,000 p/w",ENG,"M/AM (L)",Balanced,Level-headed,"Fairly Strong","Very Strong",15.5,10,12,12.5,"178 cm",13.6,13.7,13.5,11.5,10.8,11.8,6.7,14,"Winger Attack"
,"Elliot Anderson",21,Newcastle,"€35M - €44M","€16,750 p/w",ENG,"M (C), AM (LC)",Balanced,Media-friendly,Strong,"Very Strong",13,8,12,14,"179 cm",12.8,13.0,12.9,12.8,11.5,12.5,7.5,13.3,"Wide Playmaker Support"
U21,"Joe Willock",24,Newcastle,"€32M - €39M","€93,000 p/w",ENG,"M (C)","Fairly Ambitious",Level-headed,Reasonable,"Very Strong",16,8,12,15.5,"179 cm",14.6,15.0,14.8,14.1,12.2,13.8,8.6,15.1,"Advanced Playmaker Attack"
Una,"Nick Pope",32,Newcastle,"€29M - €34M","€115,000 p/w",ENG,GK,Balanced,Media-friendly,"Fairly Strong","Very Strong",8.5,18,13,12.5,"196 cm",7.3,8.3,8.3,10.9,9.5,9.5,13.9,14.7,"Goalkeeper Defend"
U21,"Kieran Trippier",33,Newcastle,€29M,"€115,000 p/w",ENG,"D/WB (R)",Resolute,Reserved,Reasonable,"Very Strong",12.5,9,12,16.5,"178 cm",13.3,13.7,14.0,14.6,13.2,14.7,8.6,15.2,"Wide Midfielder Attack"
Bid,"Lewis Hall",19,Newcastle,"€27M - €33M","€58,000 p/w",ENG,"D/WB (L), DM, M (C)",Balanced,Media-friendly,"Very Strong",Reasonable,13.5,9,10,14.5,"180 cm",12.2,12.4,12.5,12.7,11.4,12.5,6.6,13.4,"Wide Midfielder Attack"
U21,"Álvaro Fidalgo",27,Newcastle,"€27M - €32M","€77,000 p/w",ESP,"M/AM (C)",Resolute,Level-headed,Reasonable,"Very Strong",14,6,7,14,"172 cm",14.0,14.2,14.5,13.0,11.2,13.0,8.2,14.7,"Enganche Support"
U21,"Matthew Targett",28,Newcastle,"€27M - €30M","€93,000 p/w",ENG,"D (L)","Fairly Professional",Level-headed,"Very Strong",Reasonable,13.5,12,14,14,"183 cm",12.6,12.8,12.5,13.4,12.9,13.3,7.8,13.4,"Ball Winning Midfielder Defend"
U21,"Kaïl Boudache",18,Newcastle,"€22M - €33M","€41,500 p/w",FRA,"AM (R)",Resolute,"Media-friendly, Reserved","Very Strong",Reasonable,14,6,5,11.5,"176 cm",11.9,12.3,12.0,10.7,9.3,11.0,7.1,12.9,"Winger Support"
Una,"Sebastián Coates",33,Newcastle,"€22M - €29M","€125,000 p/w",URU,"D (C)",Leader,"Outspoken, Reserved",Reasonable,"Very Strong",9,17,18,14,"196 cm",10.8,10.8,10.9,13.2,13.7,12.5,7.5,14,"Central Defender Defend"
Yth,"Joe Holt",16,Newcastle,"€20M - €34M","€250 p/w",ENG,"AM (R)",Perfectionist,Level-headed,Reasonable,"Very Strong",13.5,5,5,12,"181 cm",10.8,11.2,10.7,9.9,7.5,10.1,4.8,12.3,"Winger Support"
U21,"Anderson Duarte",20,Newcastle,"€20M - €23M","€61,000 p/w",URU,"AM (RL), ST (C)","Fairly Professional","Media-friendly, Reserved",Strong,"Very Strong",15,7,8,10.5,"176 cm",13.3,13.1,12.6,11.0,10.6,11.4,6.9,13.3,"Advanced Forward Attack"
U21,"Callum Wilson",32,Newcastle,€20M,"€130,000 p/w",ENG,"ST (C)",Resolute,Level-headed,Reasonable,"Very Strong",13,10,15,15,"180 cm",14.5,14.0,13.7,12.8,11.9,12.1,7.6,14.9,"Poacher Attack"
,"Trevan Sanusi",17,Newcastle,"€13M - €19.5M","€1,700 p/w",ENG,"AM (L)",Balanced,Media-friendly,"Very Strong",Reasonable,14,6,5,8.5,"180 cm",12.7,11.8,11.6,8.8,9.4,9.5,5.5,12.7,"Advanced Forward Attack"
U21,"Garang Kuol",19,Newcastle,"€12.5M - €17.5M","€29,000 p/w",AUS,"AM (R), ST (C)","Fairly Determined",Media-friendly,Weak,"Very Strong",16,8,8,9,"175 cm",12.8,12.4,11.9,10.7,9.7,10.7,7.3,12.8,"Advanced Forward Attack"
Bid,"Sean Longstaff",26,Newcastle,€11.75M,"€35,000 p/w",ENG,"DM, M (C)","Fairly Determined",Level-headed,Weak,"Very Strong",11.5,11,12,17.5,"180 cm",12.8,13.5,13.3,14.4,12.5,14.0,8.2,14.4,"Ball Winning Midfielder Defend"
Una,"Ángel Di María",36,Newcastle,"€9.2M - €10M","€190,000 p/w",ARG,"AM (R)",Professional,Evasive,"Very Strong",Weak,12,10,8,10.5,"180 cm",14.7,14.2,14.6,11.0,11.2,11.5,7.8,15.3,"Trequartista Attack"
Una,"Ryan Fraser",30,Newcastle,€8.6M,"€76,000 p/w",SCO,"M/AM (RL)",Balanced,Level-headed,Reasonable,"Very Strong",14,3,11,14.5,"163 cm",13.4,13.6,13.4,12.4,9.9,12.5,7.3,13.7,"Winger Attack"
Yth,"Abiodun Temitope",16,Newcastle,"€6.4M - €10M","€250 p/w",ENG,"ST (C)","Fairly Sporting",Media-friendly,Reasonable,"Very Strong",12,10,7,11,"184 cm",11.3,11.3,10.5,9.1,8.2,9.1,5.3,11.3,"Advanced Forward Attack"
Una,"Fabian Schär",32,Newcastle,"€6.4M - €7.6M","€82,000 p/w",SUI,"D (C)","Fairly Professional",Level-headed,"Fairly Strong","Very Strong",10,14,13,12,"188 cm",11.6,11.4,11.9,13.2,13.9,12.6,7.8,14,"Ball Playing Defender Stopper"
Una,"Leo Shahar",17,Newcastle,"€5.4M - €7.8M","€1,700 p/w",ENG,"D (R)",Balanced,Media-friendly,Reasonable,"Very Strong",13,2,2,10.5,"159 cm",9.3,10.0,10.1,11.3,8.8,11.0,7.5,11.4,"Full Back Defend"
Loa,"Nathaniel Nwosu",18,Newcastle,"€4.9M - €5.8M","€5,750 p/w",NGA,GK,Balanced,Media-friendly,"Fairly Strong","Very Strong",11.5,14,7,8,"193 cm",7.4,7.6,7.5,8.4,8.6,7.6,10.8,11.3,"Goalkeeper Defend"
Wnt,"Mark Gillespie",32,Newcastle,€3M,"€11,500 p/w",ENG,GK,Balanced,Media-friendly,Weak,"Very Strong",9,12,13,12.5,"192 cm",7.9,8.8,8.8,9.4,9.1,8.4,12.0,13,"Goalkeeper Defend"
Una,"Isaac Hayden",29,Newcastle,€1.9M,"€58,000 p/w",ENG,"DM, M (C)",Professional,Level-headed,"Fairly Strong","Very Strong",10,13,13,14.5,"185 cm",10.9,11.4,11.6,12.8,12.3,12.5,7.2,12.9,"Ball Winning Midfielder Defend"
,"Martin Dúbravka",35,Newcastle,"€1.8M - €3.8M","€52,000 p/w",SVK,GK,Resolute,"Outspoken, Reserved",Reasonable,"Very Strong",9.5,15,10,9.5,"190 cm",7.9,8.4,8.9,10.1,10.1,9.0,13.2,13.3,"Goalkeeper Defend"
Una,"Rodrigo Vilca",25,Newcastle,"€1.6M - €3.4M","€16,000 p/w",PER,"AM (C)",Balanced,Media-friendly,Weak,"Very Strong",13.5,8,7,11,"175 cm",11.9,12.0,12.2,10.8,10.3,10.9,7.0,12.2,"Attacking Midfielder Attack"
Yth,"José Antonio Gutiérrez",16,Newcastle,"€900K - €1.6M","€250 p/w",ESP,"AM (C)","Fairly Professional",Level-headed,Strong,"Very Strong",7,10,4,5,"178 cm",8.6,8.1,8.8,7.5,8.2,7.5,5.5,9.4,"Trequartista Attack"
,"Kacey Wooster",17,Newcastle,"€700K - €5M","€1,700 p/w",ENG,"ST (C)","Fairly Determined",Media-friendly,"Fairly Strong","Very Strong",13,6,7,7.5,"181 cm",11.9,10.7,10.3,8.4,9.1,8.2,5.6,12.4,"Poacher Attack"
,"Josh Nichols",17,Newcastle,"€450K - €1.7M","€2,900 p/w",ENG,"D (RL), WB (R)",Balanced,Media-friendly,"Fairly Strong","Very Strong",14,5,7,11.5,"167 cm",9.3,10.1,9.6,10.3,8.3,10.5,5.4,11.6,"Winger Support"
Yth,"Jordan Bowron",16,Newcastle,"€425K - €4.9M","€250 p/w",ENG,"D (C)",Temperamental,"Volatile, Media-friendly, Confrontational","Very Strong",Weak,11,10,6,14.5,"180 cm",9.8,10.7,10.6,11.7,9.6,11.9,6.2,12,"Central Midfielder Defend"
Una,"Alfie Harrison",18,Newcastle,"€375K - €1.8M","€5,750 p/w",ENG,"M (C)",Determined,Level-headed,"Very Strong",Weak,10,5,6,14.5,"178 cm",10.8,11.6,12.1,10.3,8.0,10.1,5.8,12.5,"Enganche Support"
,"Michal Rosiak",18,Newcastle,"€375K - €1.1M","€3,000 p/w",POL,"D (R), DM, M (C)","Fairly Professional",Reserved,Weak,"Very Strong",12,6,9,9.5,"179 cm",10.5,10.3,10.4,10.2,9.7,10.3,6.6,11.2,"Deep Lying Playmaker Defend"
Loa,"Amadou Diallo",21,Newcastle,"€375K - €650K","€5,250 p/w",ENG,"AM (RL)",Balanced,Level-headed,Strong,"Very Strong",14,3,3,9,"170 cm",11.4,11.0,11.0,9.4,8.7,9.7,6.2,11.6,"Trequartista Attack"
Una,"Kelland Watts",24,Lincoln,€375K,"€12,500 p/w",ENG,"D (C)","Fairly Determined",Media-friendly,"Very Strong","Fairly Strong",12.5,14,12,13.5,"194 cm",11.1,11.2,10.8,12.5,12.1,11.8,6.7,12.6,"Ball Winning Midfielder Defend"
Yth,"Aaron Regis",15,Newcastle,"€300K - €5.8M","€250 p/w",ENG,"D (L)",Spirited,Media-friendly,"Very Strong","Fairly Strong",12,6,7,13,"180 cm",8.7,9.9,9.4,10.1,8.5,9.6,6.2,10.9,"Winger Support"
Una,"Lucas De Bolle",21,Newcastle,"€170K - €275K","€750 p/w",SCO,"AM (C)","Fairly Determined",Level-headed,Reasonable,"Very Strong",9,8,7,10,"186 cm",10.2,10.4,10.5,9.7,9.4,10.0,6.7,10.7,"Advanced Playmaker Attack"
Una,"Dimitris Theodorou",16,Newcastle,"€160K - €1.6M","€250 p/w",CYP,"ST (C)","Fairly Loyal",Level-headed,"Fairly Strong","Very Strong",10.5,8,5,10,"173 cm",11.2,10.9,10.8,8.4,8.1,8.6,5.8,11.3,"Trequartista Attack"
Una,"Harrison Ashby",22,Newcastle,"€150K - €400K","€5,750 p/w",SCO,"D (R)",Balanced,Media-friendly,Reasonable,"Very Strong",13.5,10,12,12.5,"179 cm",11.5,11.7,11.4,11.9,11.4,11.8,6.6,12.3,"Ball Winning Midfielder Defend"
Una,"Michael Ndiweni",20,Newcastle,"€85K - €400K","€1,200 p/w",ENG,"ST (C)",Balanced,Level-headed,Weak,"Very Strong",15,8,11,9.5,"170 cm",11.4,11.0,10.6,10.8,10.2,10.7,5.6,12.2,"Poacher Attack"
,"Ruben Curley",18,Newcastle,"€80K - €800K","€2,700 p/w",ENG,"M (C)","Fairly Loyal",Level-headed,"Very Strong",Reasonable,11.5,11,7,12,"180 cm",9.9,10.3,11.2,10.9,10.2,10.4,6.0,11.6,"Central Midfielder Attack"
Una,"Adrian Janusz",18,Newcastle,"€75K - €130K","€250 p/w",ENG,GK,Balanced,Media-friendly,Weak,"Very Strong",7.5,13,5,4,"184 cm",5.0,4.9,5.2,6.5,6.8,5.6,9.0,9.6,"Goalkeeper Defend"
Una,"Aidan Harris",17,Newcastle,"€55K - €550K","€250 p/w",ENG,GK,Balanced,Level-headed,"Fairly Strong","Very Strong",9.5,10,5,4.5,"189 cm",5.5,5.6,5.4,6.7,6.7,5.7,9.4,9.9,"Goalkeeper Defend"
Una,"Reece Byrne",19,Newcastle,"€55K - €95K","€575 p/w",IRL,GK,Ambitious,Media-friendly,"Very Strong","Very Weak",6.5,14,7,6,"189 cm",4.7,4.7,5.0,6.4,6.8,5.4,8.7,9.9,"Goalkeeper Defend"
Loa,"Travis Hernes",18,Newcastle,"€45K - €450K","€1,700 p/w",NOR,"M (C)",Balanced,Media-friendly,"Fairly Strong","Very Strong",12,7,9,10,"178 cm",10.2,10.4,10.2,10.0,9.5,9.7,6.8,10.6,"Raumdeuter Attack"
Una,"Rory Powell",18,Newcastle,"€45K - €450K","€1,000 p/w",ENG,"D (C)","Fairly Determined",Level-headed,Reasonable,"Very Strong",10,11,9,10,"188 cm",7.0,7.7,7.9,9.9,9.8,9.7,6.1,10.5,"Central Defender Stopper"
Loa,"James Huntley",20,Newcastle,"€40K - €210K","€1,600 p/w",ENG,"M (C)",Balanced,Media-friendly,Reasonable,"Very Strong",12,9,8,9,"186 cm",9.4,9.8,9.7,9.3,8.7,9.2,6.6,10.4,"Wide Playmaker Support"
Una,"Thomas Bryant",17,Newcastle,"€35K - €65K","€250 p/w",ENG,"D (L)","Fairly Determined",Media-friendly,"Very Strong","Fairly Strong",12,13,7,6.5,"187 cm",6.9,7.0,7.0,7.7,8.1,7.5,4.9,8.6,"Central Defender Stopper"
Una,"Luke Craggs",16,Newcastle,"€20K - €200K","€250 p/w",ENG,"D (C)",Balanced,Media-friendly,Strong,"Very Strong",9.5,6,8,7.5,"179 cm",4.9,5.7,5.6,7.8,7.6,7.2,5.3,8.6,"Central Defender Stopper"
,"Ismeal Kabia",18,Newcastle,"€20K - €200K","€2,800 p/w",NED,"AM (RL)",Balanced,Media-friendly,Reasonable,"Very Strong",12.5,8,4,11.5,"182 cm",10.3,11.0,11.0,9.4,8.3,9.7,5.2,11.6,"Winger Support"
Loa,"Cathal Heffernan",19,Newcastle,"€16K - €325K","€2,300 p/w",IRL,"D (C)",Ambitious,Media-friendly,Weak,"Very Strong",13.5,14,12,11,"188 cm",10.3,10.5,10.3,11.6,11.5,11.2,6.6,11.8,"Ball Winning Midfielder Defend"
Una,"Adam Harrison",17,Newcastle,"€12K - €110K","€250 p/w",ENG,GK,Balanced,Media-friendly,Reasonable,"Very Strong",8,10,4,2.5,"185 cm",4.8,4.6,4.6,5.4,6.0,4.9,8.5,9.6,"Goalkeeper Defend"
Una,"Anthony Munda",17,Newcastle,"€8K - €70K","€250 p/w",ENG,"M (C)",Balanced,Media-friendly,Reasonable,"Very Strong",12,7,5,11.5,"177 cm",8.6,9.2,8.9,8.3,7.6,7.8,4.1,10.3,"Wide Playmaker Support"
Una,"Joe Brayson",17,Newcastle,"€7K - €65K","€250 p/w",ENG,"ST (C)","Fairly Ambitious",Media-friendly,Reasonable,"Very Strong",12,7,4,4.5,"182 cm",9.1,8.4,7.5,6.0,6.5,6.1,4.5,9.6,"Poacher Attack"
Una,"Logan Watts",17,Newcastle,"€6K - €55K","€250 p/w",ENG,"D (C)",Driven,Level-headed,Reasonable,"Very Strong",11,10,6,5,"186 cm",5.4,5.7,6.1,8.2,8.4,7.7,6.2,9.2,"Central Defender Cover"
Una,"Sean Neave",17,Newcastle,"€5K - €90K","€250 p/w",ENG,"ST (C)",Balanced,Media-friendly,Reasonable,"Very Strong",11,8,6,5,"178 cm",9.8,8.4,7.8,6.0,7.3,5.8,4.2,11.1,"Poacher Attack"
Inj,"Darren Palmer",18,Newcastle,"€4.5K - €180K","€975 p/w",ENG,"AM (R)","Fairly Determined",Media-friendly,"Fairly Strong","Very Strong",9.5,10,6,10,"180 cm",10.3,10.4,10.5,8.4,8.3,9.2,5.7,10.6,"Trequartista Attack"
